epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1037.38,1.63893,3.06245,1.23176,0.42965,0.52537,0.38208,0.17943,1.69821,2.67588,1.20795,0.000415519,0.000415519,0.000415519
2,2076.9,1.6713,2.1194,1.24774,0.46791,0.51205,0.43827,0.22406,1.64701,1.91973,1.23374,0.000815708,0.000815708,0.000815708
3,3106.54,1.67665,1.85823,1.25434,0.50923,0.55725,0.53147,0.27503,1.60619,1.90397,1.19239,0.0011994,0.0011994,0.0011994
4,4126.04,1.64599,1.72954,1.23254,0.56973,0.58105,0.58219,0.31195,1.56923,1.59327,1.21109,0.00117575,0.00117575,0.00117575
5,5151.55,1.59554,1.5864,1.21764,0.46448,0.60238,0.5596,0.29399,1.58193,1.75417,1.18361,0.001151,0.001151,0.001151
6,6124.56,1.56287,1.47711,1.19078,0.74379,0.68153,0.73339,0.4073,1.51945,1.21033,1.15039,0.00112625,0.00112625,0.00112625
7,8075.72,1.52681,1.35801,1.17395,0.76234,0.71454,0.7809,0.43846,1.47078,1.09236,1.1404,0.0011015,0.0011015,0.0011015
8,9108.49,1.5024,1.33143,1.16592,0.77414,0.71147,0.7801,0.43417,1.46435,1.04889,1.12225,0.00107675,0.00107675,0.00107675
9,10143.5,1.48352,1.27585,1.15868,0.76607,0.70481,0.77127,0.44092,1.42636,1.06837,1.11381,0.001052,0.001052,0.001052
10,18171.6,1.45838,1.20759,1.14008,0.74223,0.68216,0.74042,0.42883,1.43448,1.19062,1.12171,0.00102725,0.00102725,0.00102725
11,19250.1,1.44484,1.18533,1.13536,0.82424,0.73967,0.80383,0.47052,1.42407,0.98105,1.10584,0.0010025,0.0010025,0.0010025
12,20365.9,1.43208,1.1574,1.123,0.78699,0.77835,0.81559,0.47521,1.38727,0.94176,1.07693,0.00097775,0.00097775,0.00097775
13,21492.8,1.40338,1.11169,1.11272,0.82284,0.72494,0.80313,0.47119,1.42256,0.95681,1.09594,0.000953,0.000953,0.000953
14,22591.7,1.41071,1.09189,1.11673,0.70678,0.70947,0.76819,0.46382,1.3536,1.16013,1.07283,0.00092825,0.00092825,0.00092825
15,75881.4,1.38805,1.0695,1.10714,0.79515,0.74049,0.80233,0.4702,1.41152,0.95046,1.10147,0.0009035,0.0009035,0.0009035
16,76980,1.38932,1.05882,1.11009,0.71339,0.67795,0.72875,0.4479,1.34815,1.29168,1.08287,0.00087875,0.00087875,0.00087875
17,78069.5,1.36583,1.01519,1.08806,0.85332,0.7783,0.84931,0.5223,1.31708,0.8185,1.05611,0.000854,0.000854,0.000854
18,79149.3,1.35074,1.01322,1.08645,0.82725,0.77312,0.828,0.50643,1.33365,0.81574,1.06251,0.00082925,0.00082925,0.00082925
19,80220.2,1.34604,0.98497,1.07938,0.8546,0.77642,0.84517,0.52641,1.32029,0.80192,1.04709,0.0008045,0.0008045,0.0008045
20,81298.8,1.34627,0.94346,1.07973,0.85239,0.76509,0.83279,0.51422,1.30264,0.865,1.05159,0.00077975,0.00077975,0.00077975
21,82382.9,1.33074,0.96081,1.07909,0.84178,0.79522,0.8456,0.52823,1.27313,0.7868,1.03701,0.000755,0.000755,0.000755
22,83465.5,1.30619,0.92254,1.06655,0.88712,0.7845,0.85476,0.53225,1.29297,0.78507,1.04737,0.00073025,0.00073025,0.00073025
23,85940.3,1.30206,0.90359,1.06,0.87067,0.80974,0.86368,0.54464,1.27275,0.75246,1.0332,0.0007055,0.0007055,0.0007055
24,87795.7,1.30237,0.89388,1.06098,0.84391,0.80837,0.8549,0.542,1.2873,0.76921,1.04036,0.00068075,0.00068075,0.00068075
25,88926.2,1.29157,0.87953,1.06118,0.8965,0.79166,0.86067,0.55263,1.26787,0.74278,1.03084,0.000656,0.000656,0.000656
26,90071.5,1.27402,0.87327,1.05196,0.75852,0.7672,0.81813,0.52401,1.26095,0.94795,1.0372,0.00063125,0.00063125,0.00063125
27,91149.5,1.25998,0.85443,1.04978,0.87023,0.83142,0.87324,0.56506,1.24368,0.70516,1.02054,0.0006065,0.0006065,0.0006065
28,92206.4,1.27766,0.86266,1.06057,0.7595,0.76206,0.8126,0.51867,1.26663,0.95063,1.03154,0.00058175,0.00058175,0.00058175
29,93252.1,1.24654,0.82546,1.04335,0.89455,0.81998,0.87911,0.57341,1.22339,0.67675,1.01005,0.000557,0.000557,0.000557
30,94738.8,1.2435,0.81226,1.03843,0.87569,0.82228,0.86813,0.56026,1.23456,0.69537,1.01994,0.00053225,0.00053225,0.00053225
31,97179.4,1.23034,0.80171,1.03568,0.87543,0.83234,0.87614,0.56679,1.22457,0.68404,1.01295,0.0005075,0.0005075,0.0005075
32,98240.5,1.21801,0.78383,1.03111,0.87613,0.82121,0.87417,0.56944,1.21998,0.68727,1.00892,0.00048275,0.00048275,0.00048275
33,99286.5,1.21556,0.78571,1.03475,0.83521,0.79877,0.85718,0.55298,1.22558,0.79016,1.01707,0.000458,0.000458,0.000458
34,100368,1.20246,0.775,1.02766,0.88926,0.84259,0.88631,0.58239,1.20305,0.64675,1.00685,0.00043325,0.00043325,0.00043325
35,101419,1.19254,0.74879,1.01675,0.89773,0.82752,0.88393,0.5798,1.20974,0.64844,1.00903,0.0004085,0.0004085,0.0004085
36,102492,1.17703,0.74048,1.01464,0.89902,0.8323,0.88409,0.57934,1.21187,0.6598,1.00227,0.00038375,0.00038375,0.00038375
37,103563,1.18329,0.73319,1.01384,0.87682,0.8472,0.88852,0.58464,1.20147,0.64622,0.99701,0.000359,0.000359,0.000359
38,104644,1.17219,0.72339,1.01103,0.89715,0.83848,0.8833,0.58642,1.19115,0.64148,0.99628,0.00033425,0.00033425,0.00033425
39,105703,1.15844,0.71476,1.00637,0.90305,0.84628,0.88676,0.59082,1.17863,0.63329,0.9937,0.0003095,0.0003095,0.0003095
40,106870,1.16192,0.7159,1.01147,0.83971,0.81402,0.86208,0.57406,1.18474,0.73291,0.99436,0.00028475,0.00028475,0.00028475
41,107968,1.11175,0.60917,0.98168,0.89839,0.84478,0.88783,0.59281,1.16853,0.62289,0.99172,0.00026,0.00026,0.00026
42,109131,1.10261,0.58553,0.97409,0.89325,0.84391,0.88681,0.59523,1.18151,0.62347,0.99437,0.00023525,0.00023525,0.00023525
43,110305,1.08455,0.57788,0.96662,0.89992,0.85759,0.89366,0.60038,1.15808,0.60917,0.98732,0.0002105,0.0002105,0.0002105
44,111482,1.07555,0.56456,0.96515,0.91514,0.84862,0.89247,0.6019,1.15248,0.60552,0.98644,0.00018575,0.00018575,0.00018575
45,112654,1.05957,0.55362,0.96132,0.89336,0.85581,0.89492,0.60588,1.14829,0.59693,0.98491,0.000161,0.000161,0.000161
46,113824,1.04583,0.54539,0.95538,0.89923,0.85227,0.89442,0.60443,1.14778,0.59659,0.98349,0.00013625,0.00013625,0.00013625
